tests  |   ✓   1 [chrome] › src/tests/admin/analytics-settings.spec.ts › Analytics settings › caso 1 (3.9s)
tests  |   ✓   2 [chrome] › src/tests/admin/api.spec.ts › Api › caso 1 (3.9s)
tests  |   ✓   3 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 3 (3.6s)
tests  |   ✓   4 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 4 (4.8s)
tests  |   ✓   5 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 13 (16.0s)
tests  |   ✓   6 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 14 (10.5s)
tests  |   ✓   7 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 15 (11.6s)
tests  |   ✓   8 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 16 (22.2s)
tests  |   ✓   9 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 17 (17.0s)
tests  |   ✓  10 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 6 (4.6s)
tests  |   ✓  11 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 7 (7.6s)
tests  |   ✓  12 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 8 (4.1s)
tests  |   ✓  13 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 9 (7.4s)
tests  |   ✓  14 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 10 (3.9s)
tests  |   ✓  15 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 11 (5.0s)
tests  |   ✓  16 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 5 (10.1s)
tests  |   ✘  17 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 6 (1.7m)
tests  |   ✓  18 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 6 (9.5s)
tests  |   ✓  19 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 27 (3.9s)
tests  |   ✓  20 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 28 (4.2s)
tests  |   ✓  21 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 29 (4.4s)
tests  |   ✓  22 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 30 (4.1s)
tests  |   ✓  23 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 31 (4.5s)
tests  |   ✓  24 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 32 (4.9s)
tests  |   ✓  25 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 33 (4.9s)
tests  |   ✓  26 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 34 (4.8s)
tests  |   ✓  27 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 35 (4.3s)
tests  |   ✓  28 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 36 (4.2s)
tests  |   ✓  29 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 37 (3.8s)
tests  |   ✓  30 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 38 (4.0s)
tests  |   ✓  31 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 39 (4.2s)
tests  |   ✓  32 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 40 (7.6s)
tests  |   ✓  33 [chrome] › src/tests/admin/email.spec.ts › Email › caso 1 (3.9s)
tests  |   ✓  34 [chrome] › src/tests/admin/features.spec.ts › Features › caso 1 (4.0s)
tests  |   ✓  35 [chrome] › src/tests/admin/header.spec.ts › Header › caso 1 (2.9s)
tests  |   -  36 [chrome] › src/tests/admin/issue-trackers-profiles-empty.spec.ts › Issue trackers profiles empty › caso 1
tests  |   ✓  37 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 8 (3.9s)
tests  |   ✓  38 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 9 (4.8s)
tests  |   ✓  39 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 10 (4.1s)
tests  |   ✓  40 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 11 (26.3s)
tests  |   ✓  41 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 12 (22.7s)
tests  |   ✓  42 [chrome] › src/tests/admin/license.spec.ts › License › caso 1 (3.9s)
